型番,メーカー名,数量
GRM155R60J106ME05D,村田製作所,10
GRM155R71H104KE14D,村田製作所,25
GRM155C81A105KA12D,村田製作所,10
CL05A475MP5NRNC,SAMSUNG,2
GMC04CG300F50NT,Cal-Chip Electronics,10
RCWE0805R150FKEA,VISHAY,10
DMG2301L-7,Diodes Incorporated,12
RK73B1ETTP152J,KOA Speer Electronics Inc.,10
RC0402FR-071KL,Yageo,10
RC0402JR-0710KL,Yageo,10
RK73H1ETTP27R0F,KOA Speer Electronics Inc.,10
RC0402FR-07100KL,Yageo,10
AC0402JR-07390KL,Yageo,10
RK73H1ETTP2001F,KOA Speer Electronics Inc.,12
RC0402FR-135K1L,Yageo,12
USBLC6-2SC6,STマイクロエレクトロニクス,4
RK73B2ATTD563J,KOA Speer Electronics Inc.,2
RK73H2ATTD1000F,KOA Speer Electronics Inc.,2
RK73H2ATTDD1200F,KOA Speer Electronics Inc.,2
RK73H2ATTE1500F,KOA Speer Electronics Inc.,2
RK73H2ATTDD1800F,KOA Speer Electronics Inc.,2
RC0805FR-07270RP,Yageo,45
